,dates,Price
953,2017-11-20,2582.14
954,2017-11-21,2599.03
955,2017-11-22,2597.08
956,2017-11-24,2602.42
957,2017-11-27,2601.42
958,2017-11-28,2627.04
959,2017-11-29,2626.07
960,2017-11-30,2647.55
961,2017-12-01,2642.19
962,2017-12-04,2639.41
963,2017-12-05,2629.58
964,2017-12-06,2629.27
965,2017-12-07,2636.99
966,2017-12-08,2651.49
967,2017-12-11,2659.99
968,2017-12-12,2664.13
969,2017-12-13,2662.85
970,2017-12-14,2652.06
971,2017-12-15,2675.71
972,2017-12-18,2690.21
973,2017-12-19,2681.48
974,2017-12-20,2679.25
975,2017-12-21,2684.57
976,2017-12-22,2683.34
977,2017-12-26,2680.5
978,2017-12-27,2682.61
979,2017-12-28,2687.54
980,2017-12-29,2674.03
981,2018-01-02,2695.79
982,2018-01-03,2713.06
983,2018-01-04,2723.99
984,2018-01-05,2742.98
985,2018-01-08,2747.7
986,2018-01-09,2751.3
987,2018-01-10,2748.22
988,2018-01-11,2767.55
989,2018-01-12,2786.23
990,2018-01-16,2776.43
991,2018-01-17,2802.57
992,2018-01-18,2798.07
993,2018-01-19,2810.29
994,2018-01-22,2832.97
995,2018-01-23,2839.16
